time,value,date
01:11:06,77,2022-11-26
01:11:11,76,2022-11-26
01:11:16,74,2022-11-26
01:11:21,73,2022-11-26
01:11:31,75,2022-11-26
01:11:36,77,2022-11-26
01:11:46,75,2022-11-26
01:12:01,74,2022-11-26
01:12:06,73,2022-11-26
01:12:11,72,2022-11-26
01:12:16,71,2022-11-26
01:12:21,71,2022-11-26
01:12:26,70,2022-11-26
01:12:36,72,2022-11-26
01:12:41,73,2022-11-26
01:12:46,74,2022-11-26
01:12:51,75,2022-11-26
01:13:06,77,2022-11-26
01:13:16,76,2022-11-26
01:13:21,77,2022-11-26
01:13:26,77,2022-11-26
01:13:31,77,2022-11-26
01:13:36,77,2022-11-26
01:13:46,79,2022-11-26
01:13:51,81,2022-11-26
01:13:56,81,2022-11-26
01:14:01,78,2022-11-26
01:14:06,77,2022-11-26
01:14:11,73,2022-11-26
01:14:16,70,2022-11-26
01:14:31,72,2022-11-26
01:14:36,73,2022-11-26
01:14:41,72,2022-11-26
01:14:46,72,2022-11-26
01:15:01,73,2022-11-26
01:15:06,75,2022-11-26
01:15:11,77,2022-11-26
01:15:16,77,2022-11-26
01:15:21,76,2022-11-26
01:15:26,74,2022-11-26
01:15:31,73,2022-11-26
01:15:36,72,2022-11-26
01:15:41,71,2022-11-26
01:15:56,71,2022-11-26
01:16:11,72,2022-11-26
01:16:21,73,2022-11-26
01:16:26,73,2022-11-26
01:16:41,74,2022-11-26
01:16:46,78,2022-11-26
01:16:51,78,2022-11-26
01:17:06,79,2022-11-26
01:17:16,80,2022-11-26
01:17:31,82,2022-11-26
01:17:36,85,2022-11-26
01:17:41,84,2022-11-26
01:17:46,85,2022-11-26
01:17:51,82,2022-11-26
01:17:56,77,2022-11-26
01:18:01,76,2022-11-26
01:18:16,76,2022-11-26
01:18:21,75,2022-11-26
01:18:26,73,2022-11-26
01:18:31,72,2022-11-26
01:18:36,70,2022-11-26
01:18:41,69,2022-11-26
01:18:46,70,2022-11-26
01:18:56,69,2022-11-26
01:19:06,72,2022-11-26
01:19:11,74,2022-11-26
01:19:16,76,2022-11-26
01:19:21,76,2022-11-26
01:19:31,77,2022-11-26
01:19:36,78,2022-11-26
01:19:41,78,2022-11-26
01:19:51,77,2022-11-26
01:19:56,74,2022-11-26
01:20:01,71,2022-11-26
01:20:06,68,2022-11-26
01:20:11,68,2022-11-26
01:20:26,67,2022-11-26
01:20:31,68,2022-11-26
01:20:41,68,2022-11-26
01:20:56,68,2022-11-26
01:21:06,69,2022-11-26
01:21:11,71,2022-11-26
01:21:17,74,2022-11-26
01:21:27,74,2022-11-26
01:21:32,75,2022-11-26
01:21:37,72,2022-11-26
01:21:42,69,2022-11-26
01:21:47,67,2022-11-26
01:22:02,67,2022-11-26
01:22:07,71,2022-11-26
01:22:12,74,2022-11-26
01:22:17,75,2022-11-26
01:22:22,74,2022-11-26
01:22:37,73,2022-11-26
01:22:42,72,2022-11-26
01:22:47,71,2022-11-26
01:22:52,69,2022-11-26
01:22:57,67,2022-11-26
01:23:02,70,2022-11-26
01:23:07,71,2022-11-26
01:23:17,70,2022-11-26
01:23:22,69,2022-11-26
01:23:27,67,2022-11-26
01:23:42,68,2022-11-26
01:23:47,69,2022-11-26
01:23:52,70,2022-11-26
01:23:57,71,2022-11-26
01:24:02,72,2022-11-26
01:24:12,73,2022-11-26
01:24:17,73,2022-11-26
01:24:22,72,2022-11-26
01:24:27,75,2022-11-26
01:24:37,74,2022-11-26
01:24:47,75,2022-11-26
01:25:02,81,2022-11-26
01:25:07,85,2022-11-26
01:25:12,86,2022-11-26
01:25:17,89,2022-11-26
01:25:22,91,2022-11-26
01:25:27,84,2022-11-26
01:25:32,81,2022-11-26
01:25:37,80,2022-11-26
01:25:47,81,2022-11-26
01:25:52,83,2022-11-26
01:26:07,77,2022-11-26
01:26:12,76,2022-11-26
01:26:17,77,2022-11-26
01:26:22,78,2022-11-26
01:26:27,79,2022-11-26
01:26:42,79,2022-11-26
01:26:47,82,2022-11-26
01:26:52,81,2022-11-26
01:26:57,77,2022-11-26
01:27:02,72,2022-11-26
01:27:07,70,2022-11-26
01:27:22,70,2022-11-26
01:27:27,73,2022-11-26
01:27:37,72,2022-11-26
01:27:52,72,2022-11-26
01:28:07,71,2022-11-26
01:28:12,69,2022-11-26
01:28:17,70,2022-11-26
01:28:22,70,2022-11-26
01:28:27,72,2022-11-26
01:28:32,73,2022-11-26
01:28:42,71,2022-11-26
01:28:47,69,2022-11-26
01:28:52,68,2022-11-26
01:28:57,67,2022-11-26
01:29:07,68,2022-11-26
01:29:12,69,2022-11-26
01:29:17,71,2022-11-26
01:29:27,72,2022-11-26
01:29:37,72,2022-11-26
01:29:42,73,2022-11-26
01:29:47,74,2022-11-26
01:29:57,76,2022-11-26
01:30:02,77,2022-11-26
01:30:07,78,2022-11-26
01:30:12,77,2022-11-26
01:30:17,79,2022-11-26
01:30:32,78,2022-11-26
01:30:37,77,2022-11-26
01:30:42,78,2022-11-26
01:30:47,79,2022-11-26
01:30:52,80,2022-11-26
01:31:07,80,2022-11-26
01:31:12,81,2022-11-26
01:31:22,82,2022-11-26
01:31:27,84,2022-11-26
01:31:42,84,2022-11-26
01:31:57,85,2022-11-26
01:32:02,85,2022-11-26
01:32:12,84,2022-11-26
01:32:27,83,2022-11-26
01:32:32,81,2022-11-26
01:32:37,80,2022-11-26
01:32:42,81,2022-11-26
01:32:47,80,2022-11-26
01:33:02,79,2022-11-26
01:33:12,78,2022-11-26
01:33:17,76,2022-11-26
01:33:22,78,2022-11-26
01:33:27,78,2022-11-26
01:33:32,77,2022-11-26
01:33:37,78,2022-11-26
01:33:42,79,2022-11-26
01:33:52,80,2022-11-26
01:34:07,81,2022-11-26
01:34:17,82,2022-11-26
01:34:22,82,2022-11-26
01:34:27,80,2022-11-26
01:34:42,80,2022-11-26
01:34:52,81,2022-11-26
01:35:07,80,2022-11-26
01:35:12,81,2022-11-26
01:35:17,80,2022-11-26
01:35:22,81,2022-11-26
01:35:27,82,2022-11-26
01:35:37,81,2022-11-26
01:35:47,82,2022-11-26
01:35:52,83,2022-11-26
01:35:57,84,2022-11-26
01:36:02,83,2022-11-26
01:36:07,83,2022-11-26
01:36:22,83,2022-11-26
01:36:37,84,2022-11-26
01:36:42,81,2022-11-26
01:36:47,80,2022-11-26
01:36:57,78,2022-11-26
01:37:02,77,2022-11-26
01:37:17,77,2022-11-26
01:37:22,72,2022-11-26
01:37:37,71,2022-11-26
01:37:42,69,2022-11-26
01:37:47,70,2022-11-26
01:37:52,71,2022-11-26
01:37:57,71,2022-11-26
01:38:12,71,2022-11-26
01:38:17,72,2022-11-26
01:38:32,72,2022-11-26
01:38:37,71,2022-11-26
01:38:42,73,2022-11-26
01:38:47,71,2022-11-26
01:38:52,69,2022-11-26
01:38:57,70,2022-11-26
01:39:02,70,2022-11-26
01:39:17,70,2022-11-26
01:39:32,71,2022-11-26
01:39:47,69,2022-11-26
01:39:57,67,2022-11-26
01:40:12,69,2022-11-26
01:40:17,70,2022-11-26
01:40:22,70,2022-11-26
01:40:32,71,2022-11-26
01:40:37,72,2022-11-26
01:40:52,72,2022-11-26
01:40:57,70,2022-11-26
01:41:02,69,2022-11-26
01:41:07,66,2022-11-26
01:41:17,67,2022-11-26
01:41:32,67,2022-11-26
01:41:47,67,2022-11-26
01:41:57,70,2022-11-26
01:42:02,71,2022-11-26
01:42:17,71,2022-11-26
01:42:27,72,2022-11-26
01:42:32,73,2022-11-26
01:42:42,72,2022-11-26
01:42:47,71,2022-11-26
01:43:02,70,2022-11-26
01:43:17,70,2022-11-26
01:43:32,70,2022-11-26
01:43:37,68,2022-11-26
01:43:42,67,2022-11-26
01:43:57,64,2022-11-26
01:44:02,68,2022-11-26
01:44:07,72,2022-11-26
01:44:12,73,2022-11-26
01:44:17,72,2022-11-26
01:44:32,72,2022-11-26
01:44:42,73,2022-11-26
01:44:47,74,2022-11-26
01:44:52,75,2022-11-26
01:44:57,74,2022-11-26
01:45:02,69,2022-11-26
01:45:07,67,2022-11-26
01:45:12,67,2022-11-26
01:45:27,67,2022-11-26
01:45:42,67,2022-11-26
01:45:57,67,2022-11-26
